college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
948:BRHCET,COMPUTER ENGINEERING,7186083,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,37.0,18.0,19.0,9.0,33.0,19.0,10.0,32.0,17.0,17.0,8.0,32.0,18.0,10.0,5.02,4.9,5.0,4.43,4.38,5.08,6.72,6.59,5.74
948:BRHCET,ELECTRICAL ENGINEERING,8182220,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,16.0,0.0,8.0,32.0,12.0,10.0,33.0,10.0,0.0,8.0,27.0,0.0,8.0,4.47,4.43,5.15,4.57,5.04,4.54,4.89,6.12,5.18
948:BRHCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185725,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,39.0,20.0,19.0,9.0,36.0,20.0,10.0,32.0,17.0,16.0,13.0,25.0,0.0,9.0,4.78,5.39,4.77,4.71,5.17,4.82,6.0,6.69,5.46
948:BRHCET,MECHANICAL,14186263,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,25.0,0.0,14.0,8.0,18.0,14.0,8.0,18.0,0.0,14.0,8.0,18.0,12.0,8.0,4.81,5.02,4.67,4.57,4.39,4.0,5.52,5.88,5.31
949:MITM,CIVIL,6183664,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,17.0,10.0,8.0,32.0,10.0,8.0,32.0,12.0,10.0,10.0,32.0,12.0,9.0,4.66,5.17,5.04,4.12,5.12,4.93,5.41,5.83,5.52
949:MITM,COMPUTER ENGINEERING,7186103,CPE8033:ADHOC,P,CPC801,CPC802,CPC803,ELECTIVEIII,39.0,20.0,18.0,9.0,42.0,20.0,12.0,32.0,20.0,18.0,10.0,38.0,17.0,12.0,5.35,5.69,5.64,5.29,5.38,5.38,6.52,7.63,6.08
949:MITM,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185752,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,58.0,23.0,22.0,15.0,47.0,23.0,17.0,54.0,23.0,23.0,20.0,54.0,23.0,20.0,6.78,8.19,8.46,8.0,8.81,7.86,8.22,8.62,8.12
949:MITM,ELECTRONICS ENGINEERING,50281966,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,21.0,20.0,16.0,33.0,21.0,17.0,42.0,22.0,21.0,17.0,32.0,22.0,12.0,5.7,5.76,5.42,4.61,6.61,5.88,6.93,6.83,5.97
949:MITM,MECHANICAL,14186377,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,26.0,0.0,7.0,8.0,18.0,8.0,0.0,1.0,0.0,8.0,0.0,18.0,13.0,10.0,4.7,5.22,5.08,4.64,5.04,5.11,5.48,5.72,5.51
978:PARSHURAM,CIVIL,6183730,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,10.0,11.0,8.0,32.0,17.0,9.0,36.0,12.0,11.0,10.0,35.0,12.0,8.0,4.87,4.98,5.33,4.87,5.4,4.82,5.78,5.33,5.35
