sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,department_AUTOMOBILE ENGINEERING,department_CIVIL,department_COMPUTER ENGINEERING,department_ELECTRONICS AND ELECTRICAL ENGINEERING,department_ELECTRONICS AND TELECOMMUNICATION ENGINEERING,department_ELECTRONICS ENGINEERING,department_INFORMATION TECHNOLOGY ENGINEERING,department_MECHANICAL,college_code_10:MHSSCE,college_code_116:CSM INST,college_code_124:MGMCET,college_code_126:SAKEC,college_code_174:RAIT,college_code_17:BVCE,college_code_237:TEC,college_code_238:TSEC,college_code_356:PVPPCE,college_code_366:VESIT,college_code_368:WIECT,college_code_385:ACPCE,college_code_390:RSCE,college_code_403:SIGCE,college_code_421:DJSCE,college_code_426:FCRIT,college_code_428:DMCE,college_code_438:KGSCE,college_code_442:LTCE,college_code_443:FAMT,college_code_461:SSJCE,college_code_466:VCET,college_code_522:RIZVI,college_code_523:RMCET,college_code_524:MCTCE,college_code_531:SFIT,college_code_532:ACE,college_code_533:SSPM,college_code_534:VIT,college_code_537:TCET,college_code_55:CRCE,college_code_561:PIITE,college_code_688:DBIT,college_code_689:KCCE,college_code_690:SIES,college_code_691:KJSIET,college_code_692:SCE,college_code_734:YTIET,college_code_735:SPIT,college_code_736:XIE,college_code_742:GHARADA,college_code_751:SSJCET,college_code_776:ARIET,college_code_779:STJCET,college_code_780:YTEM,college_code_802:THEEM,college_code_807:GVAIET,college_code_822:PILLAIS,college_code_823:VIVATECH,college_code_824:SESKARJAT,college_code_857:DILKAP,college_code_889:LAINSTT,college_code_890:LRTIWARI,college_code_944:AIISET,college_code_945:VOGCOE,college_code_946:GMVIT,college_code_948:BRHCET,college_code_949:MITM,college_code_978:PARSHURAM,college_code_982:VIDYAVIKAS,college_code_990:VISHWANIKE,college_code_991:IDAL INST,college_code_995:NEW HORIZO,college_code_996:A P SHAH
4.57,5.43,4.79,4.57,5.21,5.71,7.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.59,6.61,6.27,5.0,5.52,5.75,6.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.7,8.63,8.36,8.36,7.17,7.92,8.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,6.74,6.19,6.42,7.0,5.61,7.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.72,6.15,6.12,5.82,6.04,5.64,7.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.04,6.65,6.83,5.68,5.67,6.11,5.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.41,7.78,5.39,7.07,6.92,6.8,8.07,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.41,7.11,7.04,7.71,7.79,9.04,8.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.74,7.06,8.29,9.18,8.46,9.0,7.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,7.33,8.04,8.5,8.67,8.29,8.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
