,department,college_code,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
35611,CIVIL,692:SCE,6182021,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,48.0,24.0,24.0,14.0,56.0,23.0,19.0,77.0,24.0,23.0,13.0,54.0,23.0,18.0,['Diploma'],['Diploma'],7.46,8.13,8.44,8.04,9.37,9.0,8.41
35613,CIVIL,692:SCE,6182023,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,48.0,21.0,23.0,13.0,49.0,22.0,18.0,55.0,23.0,22.0,17.0,64.0,23.0,19.0,['Diploma'],['Diploma'],6.82,8.25,7.24,7.43,8.33,8.67,7.79
35614,CIVIL,692:SCE,6182024,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,42.0,18.0,16.0,12.0,36.0,20.0,13.0,38.0,22.0,20.0,12.0,38.0,18.0,12.0,['Diploma'],['Diploma'],5.86,5.52,5.48,4.61,6.67,6.92,5.84
35615,CIVIL,692:SCE,6182025,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,46.0,20.0,16.0,12.0,44.0,19.0,17.0,47.0,20.0,22.0,13.0,51.0,20.0,18.0,['Diploma'],['Diploma'],7.57,8.35,8.52,8.43,8.41,7.71,8.17
35616,CIVIL,692:SCE,6182026,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,46.0,21.0,19.0,10.0,47.0,23.0,18.0,48.0,22.0,21.0,11.0,39.0,22.0,16.0,['Diploma'],['Diploma'],6.54,6.67,7.2,6.39,7.89,7.5,7.03
35618,CIVIL,692:SCE,6182028,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,49.0,23.0,22.0,14.0,47.0,21.0,18.0,64.0,20.0,21.0,16.0,45.0,21.0,14.0,['Diploma'],['Diploma'],7.43,8.19,8.48,8.64,8.19,8.33,8.21
35621,CIVIL,692:SCE,6182031,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,37.0,19.0,19.0,11.0,48.0,21.0,15.0,51.0,19.0,19.0,16.0,58.0,20.0,18.0,['Diploma'],['Diploma'],5.86,5.83,6.04,7.0,7.89,7.88,6.75
35624,CIVIL,692:SCE,6182034,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,49.0,22.0,22.0,17.0,54.0,22.0,20.0,50.0,20.0,23.0,16.0,60.0,21.0,18.0,['Diploma'],['Diploma'],7.46,8.5,8.72,8.25,9.56,8.5,8.5
35625,CIVIL,692:SCE,6182035,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,24.0,24.0,12.0,40.0,22.0,18.0,47.0,23.0,24.0,16.0,45.0,23.0,15.0,['Diploma'],['Diploma'],7.21,7.58,7.96,7.71,8.33,7.67,7.74
35628,CIVIL,692:SCE,6182038,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,36.0,20.0,21.0,9.0,56.0,21.0,15.0,52.0,21.0,20.0,17.0,45.0,22.0,20.0,['Diploma'],['Diploma'],6.96,7.54,6.92,7.0,8.22,7.83,7.41
35629,CIVIL,692:SCE,6182039,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,39.0,20.0,20.0,8.0,60.0,23.0,16.0,55.0,20.0,20.0,16.0,38.0,21.0,14.0,['Diploma'],['Diploma'],6.46,6.85,6.64,7.0,7.74,8.0,7.12
35630,CIVIL,692:SCE,6182040,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,21.0,20.0,11.0,51.0,22.0,20.0,52.0,20.0,19.0,8.0,59.0,20.0,13.0,['Diploma'],['Diploma'],6.21,6.85,6.64,7.0,7.63,7.79,7.02
35635,CIVIL,692:SCE,6182045,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,41.0,22.0,19.0,12.0,44.0,22.0,20.0,55.0,22.0,20.0,14.0,59.0,20.0,17.0,['Diploma'],['Diploma'],7.0,7.71,8.96,7.86,8.74,8.17,8.07
35640,CIVIL,692:SCE,6182050,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,64.0,22.0,22.0,14.0,55.0,21.0,15.0,53.0,22.0,22.0,15.0,60.0,21.0,16.0,['Diploma'],['Diploma'],7.36,8.54,9.36,7.96,9.07,8.79,8.51
35641,CIVIL,692:SCE,6182051,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,60.0,24.0,23.0,12.0,58.0,23.0,17.0,52.0,24.0,24.0,19.0,61.0,24.0,20.0,['Diploma'],['Diploma'],7.54,8.06,7.96,8.64,9.26,9.17,8.44
35643,CIVIL,692:SCE,6182053,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,53.0,19.0,19.0,12.0,60.0,21.0,20.0,50.0,23.0,21.0,18.0,48.0,19.0,14.0,['Diploma'],['Diploma'],7.64,8.12,6.68,7.14,8.63,8.42,7.77
35649,CIVIL,692:SCE,6182059,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,67.0,20.0,17.0,11.0,59.0,21.0,18.0,59.0,22.0,20.0,18.0,51.0,22.0,18.0,['Diploma'],['Diploma'],5.96,6.98,7.36,7.36,8.22,8.92,7.47
35651,CIVIL,692:SCE,6182061,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,55.0,21.0,19.0,12.0,39.0,21.0,15.0,39.0,21.0,19.0,16.0,51.0,19.0,13.0,['Diploma'],['Diploma'],6.43,6.62,7.28,6.75,7.56,7.54,7.03
35658,CIVIL,692:SCE,6182068,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,47.0,23.0,22.0,15.0,62.0,22.0,15.0,51.0,20.0,20.0,11.0,48.0,22.0,15.0,['Diploma'],['Diploma'],6.57,6.65,6.56,6.61,8.52,8.33,7.21
35662,CIVIL,692:SCE,6182072,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,59.0,20.0,20.0,12.0,49.0,21.0,16.0,58.0,20.0,21.0,18.0,56.0,20.0,17.0,['Diploma'],['Diploma'],5.46,5.92,5.84,6.21,7.15,8.63,6.54
35666,CIVIL,692:SCE,6182076,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,52.0,21.0,20.0,14.0,59.0,21.0,15.0,53.0,21.0,22.0,17.0,51.0,22.0,20.0,['Diploma'],['Diploma'],6.57,7.35,7.08,7.14,8.52,8.5,7.53
35668,CIVIL,692:SCE,6182078,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,62.0,22.0,21.0,11.0,60.0,21.0,15.0,52.0,19.0,18.0,16.0,39.0,19.0,16.0,['Diploma'],['Diploma'],5.96,6.27,6.96,6.39,7.52,8.21,6.89
35676,CIVIL,692:SCE,6182086,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,55.0,20.0,18.0,12.0,62.0,22.0,20.0,57.0,13.0,17.0,8.0,52.0,21.0,16.0,['Diploma'],['Diploma'],7.39,7.46,7.64,7.07,9.3,8.33,7.87
35678,CIVIL,692:SCE,6182088,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,46.0,21.0,19.0,8.0,40.0,20.0,11.0,34.0,20.0,19.0,8.0,37.0,22.0,10.0,['Diploma'],['Diploma'],5.43,5.31,5.84,5.43,6.85,6.79,5.94
35679,CIVIL,692:SCE,6182089,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,45.0,17.0,16.0,9.0,38.0,18.0,14.0,32.0,17.0,18.0,10.0,37.0,16.0,13.0,['Diploma'],['Diploma'],5.46,5.1,5.8,4.89,5.56,6.63,5.57
35681,CIVIL,692:SCE,6182091,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,61.0,24.0,24.0,13.0,47.0,22.0,20.0,54.0,24.0,22.0,16.0,47.0,24.0,19.0,['Diploma'],['Diploma'],6.43,6.81,8.0,8.04,8.0,8.33,7.6
35682,CIVIL,692:SCE,6182092,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,56.0,23.0,22.0,17.0,46.0,20.0,16.0,46.0,23.0,20.0,19.0,55.0,22.0,20.0,['Diploma'],['Diploma'],7.29,7.77,6.68,7.75,8.22,8.5,7.7
35683,CIVIL,692:SCE,6182093,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,47.0,16.0,17.0,8.0,51.0,16.0,14.0,44.0,21.0,18.0,8.0,50.0,17.0,13.0,['Diploma'],['Diploma'],5.71,5.48,5.72,5.61,6.33,7.29,6.02
35684,CIVIL,692:SCE,6182094,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,62.0,23.0,21.0,11.0,46.0,23.0,15.0,62.0,21.0,21.0,16.0,46.0,21.0,18.0,['Diploma'],['Diploma'],6.93,7.12,7.88,7.46,7.63,8.5,7.59
35692,CIVIL,692:SCE,6182102,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,61.0,23.0,23.0,16.0,52.0,24.0,18.0,61.0,22.0,20.0,20.0,49.0,23.0,17.0,['Diploma'],['Diploma'],6.61,8.35,7.04,7.54,8.85,9.0,7.9
35694,CIVIL,692:SCE,6182104,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,59.0,24.0,23.0,15.0,42.0,24.0,14.0,55.0,24.0,24.0,18.0,54.0,23.0,15.0,['Diploma'],['Diploma'],7.61,8.04,7.92,8.11,8.52,8.17,8.06
35698,CIVIL,692:SCE,6182108,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,54.0,22.0,22.0,9.0,55.0,20.0,16.0,39.0,22.0,20.0,16.0,42.0,22.0,20.0,['Diploma'],['Diploma'],6.04,6.15,6.12,6.5,8.63,7.96,6.9
35700,CIVIL,692:SCE,6182110,CEE80417:ADVANCED,P,CEC801,CEC802,CEC803,ELECTIVEII,56.0,23.0,20.0,12.0,58.0,21.0,20.0,59.0,23.0,21.0,13.0,54.0,22.0,20.0,['Diploma'],['Diploma'],6.36,6.92,6.16,6.96,8.19,8.67,7.21
35708,CIVIL,734:YTIET,6182118,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,20.0,21.0,16.0,52.0,19.0,16.0,41.0,20.0,21.0,14.0,39.0,15.0,14.0,['Diploma'],['Diploma'],6.44,6.12,6.08,6.14,7.3,7.17,6.54
35709,CIVIL,734:YTIET,6182119,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,14.0,20.0,13.0,32.0,17.0,15.0,34.0,21.0,18.0,11.0,32.0,14.0,10.0,['Diploma'],['Diploma'],5.26,5.38,5.45,5.75,6.85,6.13,5.8
35713,CIVIL,734:YTIET,6182123,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,21.0,23.0,19.0,53.0,21.0,18.0,45.0,23.0,24.0,20.0,43.0,22.0,20.0,['Diploma'],['Diploma'],5.89,6.96,7.32,6.68,8.37,8.0,7.2
35715,CIVIL,734:YTIET,6182125,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,37.0,18.0,17.0,16.0,49.0,19.0,15.0,58.0,16.0,18.0,12.0,48.0,18.0,13.0,['Diploma'],['Diploma'],5.7,5.62,6.0,6.14,7.11,7.58,6.36
35719,CIVIL,734:YTIET,6182129,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,13.0,20.0,17.0,52.0,17.0,15.0,46.0,16.0,17.0,11.0,42.0,11.0,18.0,['Diploma'],['Diploma'],5.96,6.46,6.64,6.43,7.22,7.17,6.65
35722,CIVIL,734:YTIET,6182132,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,15.0,18.0,16.0,59.0,18.0,16.0,41.0,17.0,17.0,10.0,58.0,19.0,17.0,['Diploma'],['Diploma'],5.48,5.83,6.48,6.5,8.15,7.88,6.72
35726,CIVIL,734:YTIET,6182136,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,48.0,16.0,16.0,16.0,49.0,18.0,17.0,50.0,16.0,13.0,19.0,53.0,14.0,17.0,['Diploma'],['Diploma'],6.33,7.19,6.28,6.61,8.44,7.63,7.08
35734,CIVIL,734:YTIET,6182144,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,39.0,18.0,20.0,14.0,59.0,20.0,17.0,50.0,18.0,19.0,14.0,47.0,16.0,19.0,['Diploma'],['Diploma'],6.07,6.62,6.8,6.43,7.81,7.92,6.94
35735,CIVIL,734:YTIET,6182145,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,42.0,15.0,16.0,17.0,33.0,17.0,16.0,32.0,19.0,15.0,13.0,33.0,15.0,17.0,['Diploma'],['Diploma'],5.48,6.62,5.88,6.07,7.07,6.54,6.28
35737,CIVIL,734:YTIET,6182147,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,33.0,16.0,18.0,11.0,44.0,18.0,16.0,44.0,14.0,17.0,10.0,56.0,14.0,14.0,['Diploma'],['Diploma'],6.33,5.9,6.08,6.75,7.11,7.04,6.54
35738,CIVIL,734:YTIET,6182148,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,39.0,17.0,19.0,12.0,40.0,18.0,15.0,48.0,18.0,17.0,11.0,41.0,18.0,17.0,['Diploma'],['Diploma'],6.19,6.31,5.96,6.43,6.74,6.96,6.43
35741,CIVIL,734:YTIET,6182151,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,45.0,16.0,18.0,13.0,56.0,16.0,15.0,46.0,21.0,20.0,12.0,50.0,14.0,17.0,['Diploma'],['Diploma'],6.04,5.44,5.68,6.39,7.52,7.5,6.43
35744,CIVIL,734:YTIET,6182154,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,37.0,18.0,19.0,13.0,55.0,19.0,17.0,52.0,20.0,17.0,14.0,53.0,14.0,11.0,['Diploma'],['Diploma'],5.96,5.96,6.16,6.36,7.33,7.63,6.57
35746,CIVIL,734:YTIET,6182156,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,41.0,15.0,18.0,14.0,46.0,18.0,15.0,38.0,17.0,14.0,15.0,35.0,14.0,11.0,['Diploma'],['Diploma'],5.96,5.88,5.8,6.18,7.26,6.71,6.3
35747,CIVIL,734:YTIET,6182157,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,35.0,14.0,16.0,14.0,41.0,18.0,16.0,50.0,18.0,15.0,12.0,44.0,14.0,11.0,['Diploma'],['Diploma'],6.04,6.0,4.8,5.11,7.44,6.88,6.05
35753,CIVIL,734:YTIET,6182163,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,18.0,19.0,13.0,57.0,19.0,16.0,49.0,14.0,13.0,10.0,49.0,14.0,13.0,['Diploma'],['Diploma'],5.48,4.88,5.12,6.0,6.56,7.17,5.87
35754,CIVIL,734:YTIET,6182164,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,15.0,17.0,15.0,41.0,19.0,15.0,37.0,17.0,14.0,11.0,37.0,16.0,11.0,['Diploma'],['Diploma'],6.85,5.33,5.28,5.5,7.41,6.42,6.13
35757,CIVIL,734:YTIET,6182167,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,38.0,19.0,21.0,15.0,48.0,20.0,17.0,58.0,20.0,20.0,17.0,46.0,16.0,16.0,['Diploma'],['Diploma'],5.81,6.31,6.08,6.68,7.85,8.0,6.79
35762,CIVIL,734:YTIET,6182172,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,35.0,19.0,18.0,13.0,39.0,19.0,15.0,36.0,17.0,20.0,12.0,42.0,16.0,13.0,['Diploma'],['Diploma'],5.33,5.11,5.36,4.42,6.85,6.67,5.62
35765,CIVIL,742:GHARADA,6182175,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,47.0,20.0,20.0,12.0,49.0,22.0,16.0,64.0,22.0,22.0,16.0,61.0,22.0,14.0,['Diploma'],['Diploma'],6.96,7.04,7.84,7.54,8.52,8.67,7.76
35769,CIVIL,742:GHARADA,6182179,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,54.0,20.0,22.0,13.0,64.0,20.0,18.0,54.0,21.0,21.0,16.0,44.0,22.0,14.0,['Diploma'],['Diploma'],7.37,7.2,7.64,7.67,8.63,8.5,7.84
35772,CIVIL,742:GHARADA,6182182,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,20.0,20.0,13.0,43.0,21.0,13.0,60.0,20.0,22.0,15.0,52.0,21.0,13.0,['Diploma'],['Diploma'],6.48,6.06,7.2,6.54,7.48,8.0,6.96
35773,CIVIL,742:GHARADA,6182183,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,57.0,23.0,23.0,13.0,57.0,22.0,16.0,43.0,22.0,21.0,15.0,55.0,20.0,14.0,['Diploma'],['Diploma'],6.56,7.5,7.76,7.68,7.7,8.13,7.56
35774,CIVIL,742:GHARADA,6182184,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,57.0,22.0,22.0,13.0,48.0,22.0,15.0,46.0,22.0,23.0,15.0,51.0,22.0,15.0,['Diploma'],['Diploma'],7.78,7.81,8.36,7.75,9.26,8.17,8.19
35775,CIVIL,742:GHARADA,6182185,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,47.0,20.0,20.0,10.0,45.0,22.0,16.0,56.0,23.0,21.0,14.0,39.0,19.0,12.0,['Diploma'],['Diploma'],6.19,6.31,6.76,6.79,8.3,7.75,7.02
35777,CIVIL,742:GHARADA,6182187,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,45.0,22.0,22.0,12.0,52.0,22.0,16.0,46.0,22.0,22.0,15.0,62.0,22.0,14.0,['Diploma'],['Diploma'],6.81,6.62,7.4,7.32,7.85,8.17,7.36
35778,CIVIL,742:GHARADA,6182188,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,43.0,20.0,18.0,12.0,49.0,19.0,15.0,46.0,22.0,22.0,11.0,49.0,19.0,11.0,['Diploma'],['Diploma'],6.0,6.12,6.36,5.75,7.07,7.58,6.48
35779,CIVIL,742:GHARADA,6182189,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,38.0,20.0,19.0,11.0,49.0,22.0,16.0,45.0,21.0,21.0,14.0,39.0,20.0,12.0,['Diploma'],['Diploma'],5.85,6.21,6.36,6.21,8.44,7.29,6.73
35780,CIVIL,742:GHARADA,6182190,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,50.0,20.0,17.0,11.0,58.0,22.0,16.0,49.0,22.0,20.0,17.0,62.0,20.0,10.0,['Diploma'],['Diploma'],6.26,6.85,7.28,6.29,8.44,8.21,7.22
35782,CIVIL,742:GHARADA,6182192,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,21.0,19.0,9.0,45.0,18.0,16.0,51.0,21.0,22.0,14.0,53.0,15.0,12.0,['Diploma'],['Diploma'],6.59,5.81,6.12,6.18,7.85,7.5,6.68
35786,CIVIL,742:GHARADA,6182196,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,42.0,23.0,23.0,15.0,46.0,22.0,13.0,38.0,20.0,21.0,14.0,52.0,20.0,12.0,['Diploma'],['Diploma'],7.41,7.29,7.96,7.64,7.67,7.5,7.58
35790,CIVIL,742:GHARADA,6182200,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,45.0,19.0,17.0,9.0,54.0,22.0,19.0,46.0,22.0,21.0,15.0,55.0,23.0,12.0,['Diploma'],['Diploma'],7.11,7.29,7.84,7.64,8.0,7.88,7.63
35792,CIVIL,742:GHARADA,6182202,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,48.0,19.0,21.0,12.0,45.0,19.0,14.0,51.0,20.0,20.0,13.0,49.0,20.0,14.0,['Diploma'],['Diploma'],6.96,7.29,7.56,6.79,7.37,7.67,7.27
35793,CIVIL,742:GHARADA,6182203,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,43.0,20.0,21.0,12.0,55.0,22.0,13.0,45.0,21.0,20.0,14.0,49.0,20.0,12.0,['Diploma'],['Diploma'],6.78,7.19,7.2,7.29,7.56,7.58,7.27
35794,CIVIL,742:GHARADA,6182204,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,44.0,17.0,19.0,8.0,39.0,16.0,13.0,35.0,18.0,21.0,9.0,46.0,14.0,10.0,['Diploma'],['Diploma'],6.33,5.21,5.36,4.79,6.26,6.63,5.76
35796,CIVIL,742:GHARADA,6182206,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,34.0,19.0,20.0,12.0,42.0,18.0,10.0,42.0,20.0,20.0,10.0,44.0,19.0,13.0,['Diploma'],['Diploma'],6.59,7.06,7.16,6.82,7.3,6.92,6.98
35797,CIVIL,742:GHARADA,6182207,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,45.0,20.0,20.0,10.0,50.0,22.0,15.0,50.0,20.0,22.0,15.0,59.0,21.0,15.0,['Diploma'],['Diploma'],7.52,7.65,7.4,7.39,8.07,8.0,7.67
35799,CIVIL,742:GHARADA,6182209,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,19.0,20.0,12.0,48.0,20.0,17.0,54.0,20.0,21.0,13.0,44.0,18.0,10.0,['Diploma'],['Diploma'],6.85,6.67,7.0,7.14,7.04,7.5,7.03
35802,CIVIL,742:GHARADA,6182212,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,34.0,22.0,20.0,12.0,48.0,18.0,14.0,51.0,20.0,21.0,14.0,60.0,20.0,14.0,['Diploma'],['Diploma'],6.96,6.27,6.52,7.14,8.37,7.71,7.16
35803,CIVIL,742:GHARADA,6182213,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,46.0,19.0,19.0,12.0,41.0,18.0,16.0,53.0,18.0,20.0,15.0,52.0,20.0,15.0,['Diploma'],['Diploma'],6.56,6.65,6.4,6.39,7.78,7.42,6.87
35804,CIVIL,742:GHARADA,6182214,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,43.0,23.0,23.0,16.0,46.0,21.0,18.0,40.0,19.0,20.0,13.0,50.0,20.0,13.0,['Diploma'],['Diploma'],6.7,6.68,7.24,7.28,7.96,7.58,7.24
35805,CIVIL,742:GHARADA,6182215,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,38.0,13.0,13.0,9.0,51.0,19.0,13.0,52.0,20.0,21.0,11.0,61.0,19.0,12.0,['Diploma'],['Diploma'],6.52,6.27,6.36,5.96,7.3,7.54,6.66
35812,CIVIL,742:GHARADA,6182222,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,35.0,18.0,18.0,12.0,42.0,21.0,15.0,45.0,21.0,22.0,13.0,47.0,18.0,13.0,['Diploma'],['Diploma'],5.85,5.56,6.36,5.53,6.7,7.13,6.19
35813,CIVIL,742:GHARADA,6182223,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,49.0,19.0,18.0,11.0,55.0,19.0,16.0,52.0,21.0,22.0,15.0,41.0,19.0,14.0,['Diploma'],['Diploma'],7.15,7.27,8.04,6.96,8.3,7.75,7.58
35814,CIVIL,742:GHARADA,6182224,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,41.0,18.0,18.0,10.0,49.0,21.0,16.0,34.0,22.0,21.0,9.0,62.0,21.0,11.0,['Diploma'],['Diploma'],6.22,6.37,6.76,6.32,6.93,7.33,6.66
35817,CIVIL,742:GHARADA,6182227,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,42.0,19.0,19.0,8.0,59.0,18.0,13.0,47.0,21.0,21.0,12.0,52.0,19.0,11.0,['Diploma'],['Diploma'],6.19,5.29,6.44,6.29,6.89,7.58,6.45
35818,CIVIL,742:GHARADA,6182228,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,37.0,20.0,20.0,11.0,44.0,19.0,14.0,33.0,21.0,21.0,16.0,50.0,20.0,9.0,['Diploma'],['Diploma'],5.78,5.17,6.48,5.25,7.26,6.83,6.13
35819,CIVIL,742:GHARADA,6182229,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,50.0,19.0,19.0,8.0,49.0,19.0,14.0,53.0,21.0,22.0,16.0,54.0,19.0,13.0,['Diploma'],['Diploma'],7.0,7.06,7.84,7.89,8.07,7.63,7.58
35820,CIVIL,742:GHARADA,6182230,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,53.0,20.0,21.0,15.0,51.0,20.0,14.0,55.0,21.0,20.0,16.0,68.0,19.0,16.0,['Diploma'],['Diploma'],7.52,7.27,8.4,8.29,8.07,8.54,8.02
35821,CIVIL,742:GHARADA,6182231,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,46.0,21.0,21.0,11.0,41.0,17.0,14.0,53.0,21.0,20.0,12.0,51.0,16.0,11.0,['Diploma'],['Diploma'],5.81,5.5,6.32,5.32,6.0,7.46,6.07
35824,CIVIL,742:GHARADA,6182234,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,46.0,18.0,18.0,10.0,47.0,18.0,17.0,49.0,20.0,19.0,14.0,51.0,20.0,11.0,['Diploma'],['Diploma'],6.67,6.58,7.32,6.32,7.96,7.54,7.07
35825,CIVIL,742:GHARADA,6182235,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,45.0,20.0,20.0,12.0,57.0,20.0,17.0,54.0,21.0,20.0,16.0,59.0,20.0,12.0,['Diploma'],['Diploma'],5.85,5.77,6.88,6.04,7.44,8.21,6.7
35831,CIVIL,742:GHARADA,6182241,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,39.0,16.0,19.0,9.0,48.0,17.0,14.0,47.0,21.0,20.0,12.0,55.0,20.0,11.0,['Diploma'],['Diploma'],6.96,6.08,6.56,6.0,6.56,7.21,6.56
35833,CIVIL,742:GHARADA,6182243,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,40.0,16.0,19.0,8.0,44.0,16.0,13.0,37.0,17.0,20.0,11.0,48.0,16.0,10.0,['Diploma'],['Diploma'],5.7,5.42,7.0,7.25,7.33,6.58,6.55
