college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
438:KGSCE,MECHANICAL,53281229,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,72.0,24.0,23.0,19.0,67.0,38.0,19.0,69.0,50.0,24.0,20.0,74.0,48.0,20.0,9.15,9.41,9.17,9.25,8.85,9.29,9.22,9.6,8.85
442:LTCE,COMPUTER ENGINEERING,45282260,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,70.0,24.0,24.0,20.0,68.0,24.0,20.0,63.0,24.0,24.0,20.0,69.0,25.0,20.0,9.63,9.11,9.61,9.64,10.0,9.46,9.64,9.41,9.37
442:LTCE,ELECTRICAL ENGINEERING,47280522,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,59.0,22.0,0.0,14.0,67.0,24.0,20.0,65.0,22.0,0.0,17.0,63.0,23.0,14.0,9.37,9.41,8.96,9.36,9.54,9.32,8.44,8.92,8.83
442:LTCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10182892,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,69.0,24.0,24.0,20.0,69.0,24.0,20.0,68.0,24.0,24.0,20.0,61.0,24.0,20.0,8.7,8.28,9.04,9.5,9.41,8.86,8.52,9.54,8.38
442:LTCE,ELECTRONICS ENGINEERING,50281141,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,69.0,24.0,24.0,19.0,63.0,24.0,17.0,58.0,24.0,23.0,18.0,62.0,24.0,20.0,8.37,8.41,8.35,8.57,9.29,9.11,8.52,9.17,8.53
442:LTCE,MECHANICAL,53281535,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,68.0,24.0,24.0,20.0,69.0,47.0,20.0,72.0,57.0,23.0,20.0,71.0,53.0,20.0,9.74,9.41,9.67,9.86,8.93,9.25,9.37,9.8,9.28
443:FAMT,ELECTRICAL ENGINEERING,47280596,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,60.0,23.0,0.0,20.0,68.0,24.0,20.0,68.0,23.0,0.0,20.0,59.0,24.0,20.0,9.56,9.81,9.85,9.93,9.88,9.75,9.7,9.54,9.39
443:FAMT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10182982,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,69.0,23.0,22.0,20.0,64.0,23.0,20.0,71.0,23.0,23.0,17.0,64.0,32.0,18.0,8.81,8.56,9.38,9.86,9.56,10.0,8.96,9.85,9.26
443:FAMT,ELECTRONICS ENGINEERING,50281207,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,69.0,23.0,24.0,20.0,64.0,23.0,19.0,62.0,23.0,21.0,20.0,63.0,24.0,19.0,8.22,8.67,9.31,9.86,9.43,9.85,8.67,9.17,9.0
443:FAMT,INFORMATION TECHNOLOGY ENGINEERING,51281540,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,68.0,24.0,24.0,20.0,66.0,24.0,20.0,67.0,46.0,23.0,20.0,71.0,59.0,20.0,8.7,9.0,9.32,9.57,9.54,9.84,8.96,9.5,8.77
443:FAMT,MECHANICAL,53285968,MEE8027:PROCESS,P,MEC801,MEC802,MEC803,ELECTIVEII,67.0,24.0,24.0,20.0,69.0,23.0,20.0,69.0,23.0,24.0,20.0,72.0,24.0,20.0,9.44,9.85,9.83,9.82,9.7,9.43,9.63,9.48,9.52
461:SSJCE,COMPUTER ENGINEERING,45282373,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,72.0,23.0,24.0,20.0,71.0,24.0,20.0,62.0,24.0,24.0,20.0,64.0,42.0,19.0,8.7,8.78,9.32,9.14,9.42,9.71,9.52,9.85,9.0
461:SSJCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183055,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,61.0,23.0,23.0,18.0,59.0,23.0,18.0,63.0,32.0,22.0,18.0,55.0,39.0,17.0,8.07,7.74,8.31,9.14,9.56,9.14,9.26,8.54,8.72
461:SSJCE,INFORMATION TECHNOLOGY ENGINEERING,51281581,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,67.0,24.0,24.0,19.0,67.0,24.0,18.0,63.0,23.0,24.0,18.0,67.0,24.0,19.0,9.07,8.74,9.89,9.18,9.56,9.68,9.19,9.23,9.02
461:SSJCE,MECHANICAL,53281771,MEE8024:BUSINESS,P,MEC801,MEC802,MEC803,ELECTIVEII,68.0,24.0,24.0,20.0,63.0,24.0,18.0,67.0,24.0,24.0,20.0,67.0,24.0,20.0,9.15,9.41,9.67,9.39,9.7,9.14,9.7,9.36,9.06
466:VCET,CIVIL,43280542,CEE8047:APPRAISAL,P,CEC801,CEC802,CEC803,ELECTIVEII,66.0,23.0,24.0,20.0,69.0,23.0,20.0,74.0,23.0,24.0,20.0,74.0,24.0,20.0,8.78,9.89,9.67,9.88,9.92,10.0,9.56,9.67,9.54
466:VCET,COMPUTER ENGINEERING,45282449,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,74.0,23.0,23.0,20.0,67.0,24.0,19.0,70.0,23.0,23.0,20.0,71.0,24.0,20.0,9.44,9.44,10.0,9.86,10.0,9.83,9.84,9.85,9.6
466:VCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183133,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,71.0,22.0,23.0,14.0,67.0,22.0,19.0,79.0,22.0,21.0,14.0,65.0,45.0,16.0,9.63,9.41,9.38,10.0,9.78,9.96,8.96,9.27,9.28
466:VCET,INFORMATION TECHNOLOGY ENGINEERING,51281667,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,71.0,24.0,22.0,17.0,68.0,24.0,17.0,62.0,24.0,24.0,20.0,65.0,24.0,20.0,8.85,9.11,9.5,9.54,9.65,9.84,9.85,9.38,8.97
466:VCET,INSTRUMENTATION ENGINEERING,52280550,ISE8042:POWER,P,ISC801,ISC802,ISC803,ELECTIVEII,77.0,24.0,24.0,20.0,67.0,24.0,19.0,70.0,24.0,24.0,20.0,73.0,24.0,19.0,8.89,8.78,10.0,9.63,9.71,10.0,9.32,10.0,9.26
466:VCET,MECHANICAL,53281897,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,65.0,24.0,24.0,19.0,67.0,23.0,20.0,69.0,23.0,24.0,19.0,68.0,23.0,19.0,9.56,9.74,10.0,9.46,9.7,9.68,9.7,9.24,9.44
522:RIZVI,CIVIL,43280699,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,66.0,24.0,24.0,20.0,66.0,24.0,20.0,73.0,24.0,24.0,20.0,68.0,24.0,20.0,9.11,9.56,9.44,9.46,9.88,9.71,9.56,9.83,9.21
522:RIZVI,COMPUTER ENGINEERING,45282515,CPE8034:DIGITAL,P,CPC801,CPC802,CPC803,ELECTIVEIII,69.0,24.0,24.0,20.0,69.0,24.0,20.0,69.0,24.0,24.0,19.0,73.0,25.0,20.0,9.59,9.42,8.93,9.46,9.7,9.83,9.36,9.56,8.9
522:RIZVI,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183202,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,68.0,24.0,22.0,17.0,70.0,23.0,19.0,71.0,24.0,24.0,18.0,66.0,23.0,18.0,8.89,9.07,9.23,9.86,10.0,9.86,8.63,9.69,9.36
522:RIZVI,ELECTRONICS ENGINEERING,50281239,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,65.0,24.0,24.0,20.0,62.0,24.0,20.0,63.0,32.0,24.0,20.0,68.0,38.0,20.0,8.52,9.13,9.08,9.71,10.0,9.93,9.26,9.5,9.16
522:RIZVI,MECHANICAL,53281981,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,71.0,24.0,24.0,18.0,65.0,42.0,20.0,77.0,42.0,24.0,20.0,65.0,49.0,20.0,9.41,9.96,10.0,9.5,9.85,9.71,9.26,9.84,9.51
523:RMCET,AUTOMOBILE ENGINEERING,39280147,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,68.0,23.0,22.0,19.0,76.0,24.0,20.0,72.0,24.0,23.0,20.0,68.0,24.0,19.0,8.19,9.07,8.17,9.18,9.11,8.81,9.69,9.84,8.73
523:RMCET,COMPUTER ENGINEERING,45282573,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,60.0,23.0,22.0,18.0,64.0,24.0,20.0,56.0,24.0,23.0,19.0,63.0,23.0,19.0,7.78,8.13,7.54,8.54,8.67,8.92,8.88,8.67,7.9
523:RMCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10183258,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,56.0,21.0,22.0,15.0,60.0,23.0,14.0,57.0,21.0,22.0,13.0,51.0,20.0,15.0,7.37,8.11,9.23,8.75,9.26,8.28,8.44,7.85,8.25
