college_code,department,Unnamed: 0,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
524:MCTCE,COMPUTER ENGINEERING,38537.932692307695,18906411.009615384,54.30769230769231,19.298076923076923,19.028846153846153,15.259615384615385,54.99038461538461,19.259615384615383,17.057692307692307,47.20192307692308,19.153846153846153,20.298076923076923,13.201923076923077,46.85576923076923,20.096153846153847,14.240384615384615,6.199711538461538,6.615961538461539,7.2255769230769245,7.583269230769233,7.5688461538461524,8.061346153846154,7.210096153846156
524:MCTCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,30565.117647058825,10183333.11764706,52.911764705882355,15.264705882352942,17.5,11.088235294117647,51.14705882352941,17.441176470588236,11.088235294117647,52.76470588235294,21.0,19.147058823529413,14.029411764705882,44.44117647058823,18.58823529411765,15.0,6.32,6.286470588235295,7.3770588235294134,7.452058823529409,6.895294117647061,7.80029411764706,7.022352941176472
524:MCTCE,INFORMATION TECHNOLOGY ENGINEERING,38465.95,30754693.025,51.975,21.0,20.7,16.95,50.475,20.45,15.45,50.2,21.025,19.75,16.975,47.9,19.4,15.575,6.401999999999999,7.388499999999998,7.857749999999996,7.370000000000002,7.687750000000001,8.344750000000001,7.5095
524:MCTCE,INSTRUMENTATION ENGINEERING,58211.21276595745,27323751.74468085,40.361702127659576,19.617021276595743,18.97872340425532,11.127659574468085,49.744680851063826,20.53191489361702,14.574468085106384,49.06382978723404,21.27659574468085,20.595744680851062,13.617021276595745,42.87234042553192,19.340425531914892,12.170212765957446,6.059574468085106,6.140425531914893,6.775319148936168,6.477021276595744,6.874680851063829,7.618297872340424,6.658297872340426
524:MCTCE,MECHANICAL,10176.607142857143,35129058.321428575,50.75,21.035714285714285,20.946428571428573,14.410714285714286,50.035714285714285,19.839285714285715,15.928571428571429,51.92857142857143,20.892857142857142,21.0,15.589285714285714,53.535714285714285,20.410714285714285,14.375,7.385357142857144,7.507142857142855,7.43285714285714,7.838035714285715,7.839642857142857,8.365714285714285,7.72875
531:SFIT,COMPUTER ENGINEERING,36421.36363636364,19553620.09090909,49.38961038961039,20.16883116883117,19.805194805194805,15.545454545454545,52.76623376623377,21.025974025974026,15.012987012987013,44.324675324675326,20.233766233766232,20.09090909090909,14.96103896103896,42.883116883116884,20.48051948051948,14.454545454545455,6.257922077922078,6.446753246753248,6.948441558441562,7.63012987012987,7.778701298701299,7.988701298701297,7.175194805194807
531:SFIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,30726.775,10183494.775,50.025,20.8,19.2,14.875,49.75,22.375,16.0,48.05,21.0,17.75,12.875,42.875,18.525,12.525,6.349499999999999,6.91725,7.6352499999999965,6.8215,7.243,7.922,7.1485
531:SFIT,INFORMATION TECHNOLOGY ENGINEERING,37536.12244897959,27343620.387755103,51.204081632653065,21.142857142857142,20.79591836734694,17.653061224489797,47.326530612244895,21.122448979591837,16.306122448979593,43.53061224489796,21.06122448979592,19.428571428571427,12.959183673469388,47.69387755102041,21.489795918367346,15.46938775510204,6.749183673469388,6.80795918367347,7.258163265306122,7.383673469387753,7.656122448979593,8.003061224489793,7.310612244897958
532:ACE,COMPUTER ENGINEERING,36728.44047619047,23512085.01190476,50.11904761904762,21.30952380952381,20.63095238095238,16.19047619047619,53.67857142857143,21.392857142857142,17.428571428571427,45.32142857142857,21.202380952380953,21.44047619047619,15.166666666666666,48.595238095238095,22.107142857142858,14.916666666666666,6.844761904761904,6.559047619047621,7.5055952380952355,7.944880952380951,7.899999999999998,8.310952380952383,7.511547619047617
532:ACE,ELECTRICAL ENGINEERING,48326.579545454544,29508338.443181816,49.72727272727273,21.329545454545453,0.0,14.227272727272727,45.01136363636363,20.84090909090909,14.318181818181818,53.67045454545455,20.795454545454547,0.0,14.704545454545455,48.14772727272727,21.306818181818183,16.068181818181817,7.854772727272725,8.104999999999997,8.322727272727276,7.901931818181816,7.491818181818186,8.133295454545454,7.969545454545459
