university,page_no,department,exam_held_on,college_code,result_date,seat_no,elective,result,c1,c2,c3,c4,c5,c6,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_or,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_or,c4_in,c5_tw,c5_or,c6_tw,c6_or,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
"UNIVERSITY OF MUMBAI 
",38,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280152,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,37,18,17,15,36,18,18,13,49,18,15,11,39,19,16,13,36,38,,,['5.57'],['6.63'],['6.78'],['6.30'],['5.50'],['5.50'],['6.64'],6.73,['6.21']
"UNIVERSITY OF MUMBAI 
",39,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280153,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32,18,18,14,45,18,19,10,55,17,16,12,33,19,18,10,43,45,,,['6.15'],['6.63'],['6.19'],['6.30'],['6.54'],['5.68'],['7.04'],6.88,['6.43']
"UNIVERSITY OF MUMBAI 
",39,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280154,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,53,21,20,16,43,19,17,11,44,19,14,12,34,21,16,10,39,39,,,['6.33'],['7.13'],['6.04'],['6.15'],['6.71'],['5.18'],['6.79'],6.88,['6.40']
"UNIVERSITY OF MUMBAI 
",39,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280155,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,34,16,16,8,32,16,16,8,37,17,13,9,45,19,15,8,37,39,,,['4.97'],['5.05'],['5.52'],['5.70'],['5.46'],['0.00'],['5.25'],6.08,['--']
"UNIVERSITY OF MUMBAI 
",39,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280156,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,48,20,19,8,40,21,22,15,54,23,21,17,33,24,23,16,47,46,,,['6.70'],['7.37'],['6.85'],['7.48'],['7.57'],['7.14'],['8.07'],7.65,['7.35']
"UNIVERSITY OF MUMBAI 
",40,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280157,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32,18,17,15,44,19,20,13,54,20,20,15,52,21,20,16,47,44,,,['5.85'],['5.37'],['5.74'],['6.15'],['6.82'],['5.86'],['7.00'],7.58,['6.30']
"UNIVERSITY OF MUMBAI 
",40,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280158,['ISE8042:POWER'],F,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32E,15+,15+,8+,A,15+,14+,8+,39+,15+,17+,8+,38+,15+,15+,8+,37+,39+,,,['4.95'],['5.25'],['5.52'],['5.00'],['5.21'],['5.61'],['5.71'],--,['--']
"UNIVERSITY OF MUMBAI 
",40,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280159,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,36,18,18,15,57,18,17,16,47,17,21,13,36,23,16,14,28,30,,,['Diploma'],['Diploma'],['6.67'],['5.96'],['6.14'],['5.96'],['7.11'],6.85,['6.45']
"UNIVERSITY OF MUMBAI 
",40,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280160,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,42,19,19,9,38,20,19,8,41,19,20,12,41,23,21,14,44,45,,,['5.78'],['7.00'],['7.04'],['6.48'],['6.96'],['6.39'],['6.79'],7.27,['6.71']
"UNIVERSITY OF MUMBAI 
",41,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280161,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,63,21,20,8,46,20,20,17,55,21,19,12,48,23,20,12,43,44,,,['6.59'],['7.93'],['8.44'],['8.07'],['7.93'],['7.25'],['7.71'],8.31,['7.78']
"UNIVERSITY OF MUMBAI 
",41,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280162,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,37,16,15,9,35,17,17,12,43,18,17,12,49,19,18,12,38,36,,,['Diploma'],['Diploma'],['6.19'],['5.85'],['6.46'],['0.00'],['6.61'],6.54,['--']
"UNIVERSITY OF MUMBAI 
",41,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280163,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,78,18,20,13,55,21,23,15,49,22,21,13,53,23,20,14,42,43,,,['7.70'],['8.07'],['8.74'],['8.70'],['7.57'],['7.75'],['8.36'],8.73,['8.20']
"UNIVERSITY OF MUMBAI 
",41,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280164,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,49,21,20,16,48,20,20,15,53,21,19,16,54,24,21,18,39,41,,,['6.33'],['6.09'],['6.22'],['6.07'],['6.54'],['6.79'],['7.79'],8.31,['6.77']
"UNIVERSITY OF MUMBAI 
",42,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280165,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,68,22,22,16,46,22,23,19,53,23,22,17,48,23,23,20,42,43,,,['8.22'],['8.22'],['9.41'],['8.63'],['9.14'],['8.04'],['8.71'],8.77,['8.64']
"UNIVERSITY OF MUMBAI 
",42,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280166,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,65,18,20,13,54,21,22,14,62,21,19,15,50,23,19,14,42,43,,,['7.44'],['7.96'],['8.11'],['9.19'],['7.75'],['7.82'],['8.25'],8.73,['8.16']
"UNIVERSITY OF MUMBAI 
",42,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280167,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,64,20,20,14,44,21,23,16,40,22,20,14,38,23,19,16,41,43,,,['7.67'],['8.44'],['7.44'],['8.15'],['7.36'],['7.21'],['8.36'],8.15,['7.85']
"UNIVERSITY OF MUMBAI 
",42,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280168,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,36,19,19,15,60,18,19,15,57,19,19,15,50,23,17,15,43,45,,,['Diploma'],['Diploma'],['7.26'],['7.11'],['7.07'],['6.93'],['8.04'],8.31,['7.45']
"UNIVERSITY OF MUMBAI 
",43,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280169,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,60,17,20,10,60,21,20,16,53,21,18,12,49,24,18,13,37,43,,,['7.00'],['7.52'],['7.52'],['7.41'],['7.29'],['7.36'],['8.14'],8.50,['7.59']
"UNIVERSITY OF MUMBAI 
",43,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280170,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,34,17,19,8,41,16,17,8,43,17,20,8,36,19,19,8,40,44,,,['5.83'],['6.69'],['5.89'],['5.41'],['0.00'],['5.18'],['6.61'],6.46,['--']
"UNIVERSITY OF MUMBAI 
",43,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280171,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,17,19,12,46,20,19,10,64,20,21,11,49,23,18,13,37,43,,,['7.63'],['8.17'],['7.85'],['7.81'],['7.29'],['7.54'],['7.11'],8.19,['7.70']
"UNIVERSITY OF MUMBAI 
",43,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280172,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,43,16,16,8,34,16,16,9,47,17,18,14,39,17,16,10,34,38,,,['6.19'],['5.67'],['4.67'],['5.44'],['0.00'],['0.00'],['5.46'],6.35,['--']
"UNIVERSITY OF MUMBAI 
",44,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280173,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,68,18,19,16,58,19,19,17,57,18,17,16,58,21,18,17,42,44,,,['5.85'],['7.15'],['6.30'],['8.67'],['7.96'],['7.71'],['7.96'],9.15,['7.59']
"UNIVERSITY OF MUMBAI 
",44,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280174,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,40,18,16,9,47,19,20,16,52,21,20,14,45,23,19,13,39,42,,,['Diploma'],['Diploma'],['6.81'],['6.89'],['7.18'],['6.43'],['7.07'],7.54,['6.99']
"UNIVERSITY OF MUMBAI 
",44,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280175,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,52,20,21,12,51,19,17,15,54,19,16,16,36,24,21,13,40,41,,,['Diploma'],['Diploma'],['7.67'],['8.19'],['8.36'],['6.57'],['7.46'],7.85,['7.68']
"UNIVERSITY OF MUMBAI 
",44,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280176,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,58,20,17,11,45,20,19,11,54,21,19,12,50,23,20,10,38,44,,,['7.19'],['7.30'],['6.37'],['7.04'],['6.86'],['5.79'],['7.32'],7.88,['6.97']
"UNIVERSITY OF MUMBAI 
",45,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280177,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,69,23,20,15,43,22,17,15,50,23,20,17,50,24,23,17,47,46,,,['7.93'],['8.41'],['8.93'],['8.96'],['8.43'],['8.25'],['8.71'],8.42,['8.51']
"UNIVERSITY OF MUMBAI 
",45,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280178,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,19,18,8,39,20,17,12,50,19,15,11,37,22,19,10,49,48,,,['5.83'],['6.54'],['5.74'],['5.74'],['5.82'],['5.07'],['0.00'],7.12,['--']
"UNIVERSITY OF MUMBAI 
",45,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280179,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,21,21,14,43,20,20,13,41,19,16,13,42,23,22,13,41,42,,,['6.56'],['7.30'],['7.26'],['6.59'],['6.93'],['6.07'],['6.75'],7.46,['6.87']
"UNIVERSITY OF MUMBAI 
",45,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280180,['ISE8042:POWER'],F,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32E,18E,17E,8E,32E,19E,17E,8E,24F,20E,16E,8E,32E,14E,17E,10E,45E,45E,,,['6.04'],['7.11'],['5.70'],['5.67'],['0.00'],['0.00'],['0.00'],--,['--']
"UNIVERSITY OF MUMBAI 
",46,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280181,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,20,17,9,43,19,19,8,52,19,17,13,47,22,19,8,39,41,,,['Diploma'],['Diploma'],['5.85'],['5.67'],['5.64'],['5.46'],['6.46'],7.35,['6.07']
"UNIVERSITY OF MUMBAI 
",46,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280182,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,47,16,18,16,44,16,16,13,49,15,18,11,37,19,16,9,38,35,,,['5.70'],['6.72'],['6.07'],['6.19'],['6.89'],['6.21'],['6.57'],6.81,['6.40']
"UNIVERSITY OF MUMBAI 
",46,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280183,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,61,18,21,12,38,18,20,10,46,18,19,12,49,23,19,9,42,44,,,['6.48'],['7.13'],['7.11'],['7.30'],['6.96'],['6.82'],['7.61'],7.54,['7.12']
"UNIVERSITY OF MUMBAI 
",46,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280184,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,61,21,21,17,58,20,20,19,52,21,18,16,46,24,22,17,42,43,,,['7.89'],['8.26'],['7.96'],['8.19'],['8.50'],['8.14'],['8.57'],8.73,['8.28']
"UNIVERSITY OF MUMBAI 
",47,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280185,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,54,17,19,11,59,18,18,10,51,17,19,14,56,21,18,16,38,44,,,['8.89'],['7.59'],['7.74'],['8.00'],['7.89'],['6.61'],['8.04'],8.04,['7.85']
"UNIVERSITY OF MUMBAI 
",47,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280186,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,60,23,21,15,54,23,20,15,49,22,21,14,45,24,22,16,48,48,,,['7.15'],['8.15'],['8.96'],['8.96'],['9.14'],['9.39'],['8.57'],8.46,['8.60']
"UNIVERSITY OF MUMBAI 
",47,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280187,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,47,16,16,14,41,18,18,11,47,17,15,12,42,21,16,13,46,47,,,['5.59'],['6.54'],['5.37'],['5.96'],['5.89'],['6.00'],['7.04'],7.31,['6.21']
"UNIVERSITY OF MUMBAI 
",47,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280188,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,53,23,21,17,57,21,21,15,60,22,20,14,49,24,21,16,47,47,,,['8.30'],['8.48'],['7.67'],['9.56'],['7.64'],['8.14'],['8.25'],8.62,['8.33']
"UNIVERSITY OF MUMBAI 
",48,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280189,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,59,22,22,16,62,23,23,19,52,23,21,16,53,24,24,18,44,44,,,['8.26'],['7.93'],['8.81'],['10.00;'],['9.43'],['9.04'],['8.86'],9.08,['8.93']
"UNIVERSITY OF MUMBAI 
",48,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280190,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,49,18,18,12,53,19,20,13,48,17,14,10,36,19,14,13,38,37,,,['6.81'],['7.26'],['7.11'],['6.74'],['7.18'],['6.68'],['6.86'],7.12,['6.97']
"UNIVERSITY OF MUMBAI 
",48,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280191,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,19,19,11,43,19,20,10,35,20,19,12,59,23,22,12,48,47,,,['7.11'],['7.46'],['6.81'],['6.19'],['6.75'],['5.96'],['7.25'],7.58,['6.89']
"UNIVERSITY OF MUMBAI 
",48,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280192,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,45,16,15,9,39,16,18,12,44,16,14,10,36,17,18,9,37,38,,,['Diploma'],['Diploma'],['6.56'],['5.93'],['5.57'],['0.00'],['0.00'],6.73,['--']
"UNIVERSITY OF MUMBAI 
",49,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280193,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,45,22,22,14,38,23,22,17,58,22,18,17,57,24,22,17,46,45,,,['6.35'],['7.41'],['6.63'],['6.70'],['6.89'],['7.32'],['7.29'],8.31,['7.11']
"UNIVERSITY OF MUMBAI 
",49,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280194,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,59,22,22,14,44,23,23,16,32,23,22,11,52,24,24,15,44,48,,,['8.04'],['7.07'],['7.26'],['6.93'],['8.14'],['7.54'],['7.86'],7.85,['7.59']
"UNIVERSITY OF MUMBAI 
",49,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280195,['ISE8042:POWER'],F,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,36E,16E,16E,11E,22F,19E,20E,8E,43E,17E,16E,10E,33E,19E,18E,8E,42E,43E,,,['6.20'],['5.98'],['6.19'],['5.37'],['0.00'],['0.00'],['5.14'],--,['--']
"UNIVERSITY OF MUMBAI 
",49,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280196,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,25,16,16,8,36,17,17,8,37,17,14,10,34,15,14,8,39,38,,,['5.30'],['5.44'],['4.59'],['4.56'],['0.00'],['0.00'],['0.00'],5.73,['--']
"UNIVERSITY OF MUMBAI 
",50,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280197,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,43,20,19,16,46,20,18,16,64,19,16,15,50,23,17,14,45,44,,,['Diploma'],['Diploma'],['7.22'],['6.30'],['7.39'],['7.04'],['7.18'],8.15,['7.21']
"UNIVERSITY OF MUMBAI 
",50,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280198,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,42,21,20,12,65,21,22,17,61,21,22,15,50,23,18,18,43,45,,,['Diploma'],['Diploma'],['7.59'],['6.44'],['7.32'],['5.93'],['7.86'],8.77,['7.32']
"UNIVERSITY OF MUMBAI 
",50,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280199,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,33,21,20,14,65,20,17,15,50,20,19,14,41,23,20,18,46,44,,,['Diploma'],['Diploma'],['5.67'],['5.74'],['6.18'],['5.64'],['7.21'],8.04,['6.41']
"UNIVERSITY OF MUMBAI 
",50,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280200,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,38,19,16,10,47,19,18,11,53,20,17,11,50,21,19,12,46,44,,,['Diploma'],['Diploma'],['6.19'],['6.15'],['6.86'],['5.89'],['6.75'],7.46,['6.55']
"UNIVERSITY OF MUMBAI 
",51,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280201,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,40,17,16,13,55,20,20,13,50,20,19,12,48,22,19,14,34,35,,,['Diploma'],['Diploma'],['6.22'],['6.52'],['6.79'],['6.29'],['6.86'],7.15,['6.64']
"UNIVERSITY OF MUMBAI 
",51,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280202,['ISE8042:POWER'],F,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,38E,16E,14E,8E,16F,15E,16E,8E,41E,14E,14E,10E,32E,17E,17E,8E,41E,40E,,,['5.35'],['4.85'],['5.33'],['4.37'],['0.00'],['0.00'],['4.96'],--,['--']
"UNIVERSITY OF MUMBAI 
",51,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280203,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,35,21,20,13,46,19,17,13,45,20,15,15,52,23,18,12,46,45,,,['6.30'],['6.70'],['5.74'],['6.07'],['6.86'],['5.96'],['7.54'],7.54,['6.59']
"UNIVERSITY OF MUMBAI 
",51,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280204,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,48,22,21,12,32,23,19,16,44,22,14,10,53,23,18,15,41,40,,,['6.22'],['6.56'],['6.33'],['7.00'],['7.39'],['7.14'],['7.21'],7.62,['6.93']
"UNIVERSITY OF MUMBAI 
",52,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280205,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,60,23,22,17,45,23,23,16,55,23,22,15,41,22,24,19,49,46,,,['7.70'],['7.85'],['7.93'],['7.59'],['8.43'],['8.39'],['8.14'],8.62,['8.08']
"UNIVERSITY OF MUMBAI 
",52,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280206,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,46,21,21,11,42,21,23,18,52,22,19,12,53,21,22,13,48,47,,,['7.89'],['8.30'],['8.19'],['7.56'],['8.00'],['8.11'],['8.00'],8.00,['8.01']
"UNIVERSITY OF MUMBAI 
",52,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280207,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,40,19,20,10,38,22,22,9,46,20,18,11,32,23,18,11,39,39,,,['5.19'],['6.46'],['6.19'],['5.59'],['5.86'],['6.21'],['6.57'],6.77,['6.11']
"UNIVERSITY OF MUMBAI 
",52,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280208,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,52,23,22,17,58,23,22,19,54,23,21,18,52,24,21,17,43,44,,,['7.59'],['7.19'],['7.70'],['7.85'],['8.54'],['8.21'],['8.86'],8.62,['8.07']
"UNIVERSITY OF MUMBAI 
",53,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280209,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,32,21,20,17,54,20,18,13,56,21,20,16,43,24,17,17,39,39,,,['Diploma'],['Diploma'],['6.81'],['6.67'],['7.04'],['6.71'],['7.79'],7.73,['7.13']
"UNIVERSITY OF MUMBAI 
",53,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280210,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,64,21,20,12,65,21,23,17,53,20,19,15,41,24,21,18,48,45,,,['6.00'],['7.07'],['7.33'],['6.96'],['8.11'],['8.18'],['8.00'],8.73,['7.55']
"UNIVERSITY OF MUMBAI 
",53,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:174:RAIT'],"JULY 10, 2018",52280211,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,49,18,19,11,39,17,16,12,48,18,20,11,32,13,18,10,36,33,,,['Diploma'],['Diploma'],['5.58'],['5.70'],['6.00'],['5.89'],['6.54'],6.35,['6.01']
