college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
689:KCCE,ELECTRONICS ENGINEERING,11182643,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,19.0,16.0,9.0,33.0,17.0,8.0,32.0,18.0,15.0,8.0,26.0,0.0,10.0,['Diploma'],['Diploma'],5.33,4.79,4.75,5.3,6.04,6.33,5.82
689:KCCE,INFORMATION TECHNOLOGY ENGINEERING,12183577,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,18.0,16.0,9.0,26.0,0.0,9.0,23.0,16.0,2.0,6.0,23.0,0.0,8.0,['Diploma'],['Diploma'],4.92,4.79,4.92,5.04,5.59,6.12,5.58
690:SIES,COMPUTER ENGINEERING,7184815,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,17.0,16.0,8.0,33.0,16.0,8.0,34.0,17.0,17.0,8.0,32.0,15.0,11.0,['Diploma'],['Diploma'],4.89,4.93,5.13,5.67,5.96,6.33,5.6
690:SIES,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184457,ETE801:SPEECH,P,ETC801,ETC802,ETC803,ELECTIVEII,27.0,0.0,15.0,8.0,21.0,11.0,6.0,20.0,10.0,16.0,8.0,20.0,14.0,8.0,['Diploma'],['Diploma'],4.81,4.36,5.19,4.75,4.96,5.88,5.22
690:SIES,INFORMATION TECHNOLOGY ENGINEERING,12183669,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,18.0,17.0,8.0,32.0,17.0,8.0,32.0,16.0,18.0,8.0,32.0,16.0,8.0,['Diploma'],['Diploma'],5.14,5.32,5.38,5.16,5.7,6.19,5.54
690:SIES,MECHANICAL,14183778,MEE80210:WORLD,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,17.0,16.0,14.0,36.0,16.0,8.0,37.0,15.0,18.0,8.0,33.0,18.0,9.0,['Diploma'],['Diploma'],5.75,5.07,4.78,5.21,6.37,6.8,5.92
691:KJSIET,COMPUTER ENGINEERING,7184903,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,40.0,15.0,16.0,10.0,41.0,15.0,10.0,32.0,15.0,18.0,9.0,36.0,11.0,8.0,['Diploma'],['Diploma'],5.0,5.18,5.42,6.08,6.8,6.52,6.43
691:KJSIET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184607,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,11.0,13.0,8.0,32.0,17.0,9.0,32.0,16.0,1.0,7.0,32.0,16.0,8.0,['Diploma'],['Diploma'],5.12,4.89,5.56,5.14,5.48,6.31,5.69
691:KJSIET,ELECTRONICS ENGINEERING,11182683,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,14.0,16.0,8.0,34.0,15.0,8.0,32.0,13.0,2.0,6.0,33.0,16.0,10.0,['Diploma'],['Diploma'],4.38,4.18,4.64,5.3,5.22,6.0,5.36
691:KJSIET,INFORMATION TECHNOLOGY ENGINEERING,12183732,ITC8041:ENTERPRISE,P,ITC801,ITC802,ITC803,ELECTIVEII,34.0,20.0,17.0,11.0,32.0,20.0,8.0,32.0,18.0,17.0,8.0,33.0,19.0,11.0,['Diploma'],['Diploma'],5.32,4.86,5.92,5.72,6.48,7.35,6.03
692:SCE,AUTOMOBILE ENGINEERING,39280236,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,42.0,18.0,15.0,8.0,40.0,17.0,8.0,36.0,20.0,20.0,13.0,37.0,16.0,9.0,['Diploma'],['Diploma'],5.12,5.61,5.74,5.22,6.58,7.4,6.23
692:SCE,CIVIL,6181909,CEE80414:DESIGN,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,16.0,2.0,6.0,32.0,16.0,9.0,32.0,13.0,14.0,8.0,32.0,16.0,9.0,['Diploma'],['Diploma'],4.96,4.83,4.64,4.11,5.56,5.88,5.49
692:SCE,COMPUTER ENGINEERING,7184979,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,38.0,19.0,18.0,9.0,37.0,17.0,8.0,32.0,17.0,17.0,10.0,32.0,16.0,8.0,['Diploma'],['Diploma'],4.86,4.93,5.12,5.17,5.76,6.56,5.83
692:SCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184769,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,18.0,17.0,8.0,32.0,16.0,6.0,32.0,20.0,9.0,8.0,32.0,16.0,9.0,['Diploma'],['Diploma'],4.88,4.64,5.3,5.0,5.37,6.38,5.44
692:SCE,INFORMATION TECHNOLOGY ENGINEERING,12183805,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,11.0,12.0,9.0,32.0,15.0,7.0,32.0,14.0,2.0,6.0,26.0,0.0,8.0,['Diploma'],['Diploma'],5.04,4.82,4.73,4.28,5.74,6.35,5.48
692:SCE,MECHANICAL,14183859,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,26.0,0.0,14.0,9.0,22.0,17.0,12.0,20.0,17.0,15.0,10.0,21.0,17.0,12.0,['Diploma'],['Diploma'],5.18,4.45,5.29,4.9,5.96,7.08,5.48
734:YTIET,CIVIL,6182118,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,25.0,0.0,16.0,11.0,18.0,0.0,14.0,19.0,0.0,13.0,10.0,18.0,11.0,10.0,['Diploma'],['Diploma'],5.06,4.88,4.24,4.42,5.33,5.92,5.53
734:YTIET,ELECTRONICS ENGINEERING,50281819,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,20.0,21.0,11.0,34.0,21.0,17.0,32.0,21.0,22.0,12.0,32.0,17.0,15.0,['Diploma'],['Diploma'],5.62,4.71,5.46,4.0,5.93,6.46,5.36
734:YTIET,MECHANICAL,14184088,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,21.0,19.0,13.0,32.0,21.0,14.0,32.0,19.0,18.0,13.0,32.0,19.0,10.0,['Diploma'],['Diploma'],5.12,5.07,4.15,4.57,6.52,7.2,5.93
736:XIE,COMPUTER ENGINEERING,7185095,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,36.0,13.0,17.0,9.0,36.0,15.0,12.0,32.0,13.0,15.0,10.0,32.0,14.0,8.0,['Diploma'],['Diploma'],4.75,4.57,5.71,6.21,6.28,6.33,5.93
736:XIE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184913,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,35.0,18.0,13.0,14.0,32.0,18.0,11.0,33.0,20.0,16.0,11.0,32.0,17.0,9.0,['Diploma'],['Diploma'],5.12,5.21,5.93,5.43,6.04,6.81,5.85
736:XIE,INFORMATION TECHNOLOGY ENGINEERING,12183882,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,20.0,17.0,10.0,27.0,0.0,15.0,21.0,16.0,15.0,12.0,20.0,16.0,11.0,['Diploma'],['Diploma'],4.43,5.11,5.58,6.16,6.37,6.62,5.89
742:GHARADA,CIVIL,6182175,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,13.0,13.0,8.0,32.0,16.0,8.0,32.0,10.0,15.0,9.0,25.0,0.0,9.0,['Diploma'],['Diploma'],5.63,5.02,4.96,4.79,5.07,5.58,5.41
742:GHARADA,COMPUTER ENGINEERING,7185182,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,19.0,19.0,10.0,33.0,18.0,10.0,32.0,19.0,17.0,9.0,32.0,19.0,8.0,['Diploma'],['Diploma'],4.68,5.04,5.88,5.96,5.68,6.3,5.78
742:GHARADA,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10184992,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,39.0,22.0,22.0,8.0,33.0,16.0,9.0,32.0,23.0,20.0,13.0,32.0,19.0,9.0,['Diploma'],['Diploma'],5.54,5.07,5.63,5.46,6.04,6.73,6.18
