college_code,department,seat_no,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
742:GHARADA,COMPUTER ENGINEERING,25176424.0,49.55555555555556,21.36111111111111,20.75,16.22222222222222,50.97222222222222,20.77777777777778,13.36111111111111,41.638888888888886,20.694444444444443,20.083333333333332,15.333333333333334,39.638888888888886,21.583333333333332,14.333333333333334,6.060555555555555,6.3516666666666675,6.356944444444446,6.538055555555555,6.912777777777777,7.049722222222221,7.77,7.868611111111109,6.864444444444443
742:GHARADA,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185003.923076924,50.46153846153846,22.0,22.307692307692307,11.538461538461538,44.07692307692308,17.692307692307693,13.461538461538462,39.69230769230769,22.76923076923077,20.53846153846154,13.615384615384615,39.23076923076923,18.153846153846153,10.923076923076923,5.815384615384615,6.234615384615385,6.243076923076923,6.109999999999999,6.088461538461538,6.46923076923077,6.645384615384615,7.4146153846153835,6.378461538461537
742:GHARADA,INFORMATION TECHNOLOGY ENGINEERING,31733478.5,42.75,22.5,21.5,15.75,38.0,21.25,11.75,38.5,22.75,22.75,14.5,51.0,19.75,13.0,5.17,5.245,5.6175,5.5975,7.085,6.97,7.1575,7.5375000000000005,6.2975
742:GHARADA,MECHANICAL,36283659.532608695,45.90217391304348,18.902173913043477,18.543478260869566,13.98913043478261,46.67391304347826,18.22826086956522,13.945652173913043,43.95652173913044,18.945652173913043,17.47826086956522,11.804347826086957,46.46739130434783,21.91304347826087,14.793478260869565,6.482065217391306,6.759565217391304,6.836847826086958,6.6102173913043485,6.948369565217392,6.657826086956523,7.314239130434781,7.652608695652174,6.908043478260869
751:SSJCET,CIVIL,29281608.094339624,42.9622641509434,21.92452830188679,19.641509433962263,14.60377358490566,48.339622641509436,21.358490566037737,13.69811320754717,48.16981132075472,21.0,17.62264150943396,14.415094339622641,46.9622641509434,21.50943396226415,13.867924528301886,6.226792452830187,6.519245283018868,6.075471698113207,6.09509433962264,6.521509433962263,6.3818867924528275,7.170943396226413,7.650566037735849,6.581698113207547
751:SSJCET,COMPUTER ENGINEERING,20825611.98765432,49.34567901234568,19.59259259259259,20.382716049382715,14.123456790123457,52.34567901234568,20.77777777777778,16.25925925925926,44.48148148148148,20.728395061728396,20.679012345679013,14.54320987654321,46.74074074074074,21.25925925925926,14.123456790123457,5.79456790123457,6.27185185185185,5.664320987654319,6.035555555555556,6.5227160493827165,6.9920987654320985,7.4439506172839485,8.035061728395059,6.595432098765432
751:SSJCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185058.064516129,49.225806451612904,22.64516129032258,22.806451612903224,13.129032258064516,45.064516129032256,22.161290322580644,10.870967741935484,44.96774193548387,22.806451612903224,22.806451612903224,15.0,44.645161290322584,22.451612903225808,13.96774193548387,5.8354838709677415,6.087096774193548,5.89225806451613,5.969032258064515,6.638709677419356,6.613225806451613,6.914516129032258,7.808387096774195,6.470967741935483
751:SSJCET,MECHANICAL,34955681.859375,41.46875,21.453125,21.703125,12.2109375,46.359375,21.5546875,14.6953125,45.984375,21.4375,20.4453125,14.4453125,47.4375,21.3984375,14.0078125,6.342499999999999,6.670156249999998,6.806484375000003,6.339531249999998,6.19140625,6.439609375000002,7.234140625000001,7.851250000000001,6.735234375
776:ARIET,CIVIL,25330215.032258064,45.74193548387097,21.387096774193548,20.387096774193548,19.0,47.354838709677416,20.322580645161292,17.129032258064516,47.03225806451613,21.387096774193548,20.193548387096776,17.64516129032258,53.83870967741935,21.870967741935484,17.870967741935484,5.9161290322580635,6.283548387096775,6.436129032258064,6.333225806451613,6.581935483870969,6.4474193548387095,7.6170967741935485,8.230322580645161,6.731612903225805
776:ARIET,COMPUTER ENGINEERING,22152741.410714287,49.857142857142854,20.875,21.482142857142858,17.607142857142858,51.267857142857146,22.5,15.285714285714286,47.30357142857143,21.839285714285715,21.214285714285715,15.214285714285714,44.410714285714285,21.017857142857142,14.642857142857142,5.858392857142859,6.364821428571426,6.5826785714285725,6.803749999999999,7.318928571428573,7.322321428571429,7.942142857142856,8.21160714285714,7.0510714285714275
776:ARIET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10185108.25,49.25,20.0,20.75,12.75,41.25,15.0,12.25,42.75,19.25,19.75,14.0,38.25,20.25,13.75,5.405,5.784999999999999,6.1925,5.8225,5.955,5.5975,6.824999999999999,7.375,6.12
776:ARIET,INFORMATION TECHNOLOGY ENGINEERING,41508253.8,45.35,21.55,21.25,17.3,45.65,21.6,16.15,44.95,20.95,20.75,17.1,50.45,21.05,15.25,5.7204999999999995,6.290000000000001,6.4765,7.0584999999999996,7.299499999999999,7.3100000000000005,7.6745,8.146500000000001,6.998
776:ARIET,MECHANICAL,31654265.170212764,41.0,19.19148936170213,19.4468085106383,12.680851063829786,47.93617021276596,19.4468085106383,13.0,46.0,19.48936170212766,19.170212765957448,12.659574468085106,48.638297872340424,19.53191489361702,13.574468085106384,6.226808510638296,6.438510638297872,6.5353191489361695,6.28936170212766,6.552765957446808,6.32872340425532,6.64659574468085,7.411063829787235,6.554680851063831
